ExistingAccountStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,CurrentEmplymentStatus,InstallmentRate,PersonalStatusAndSex,OtherGuarantors,DurationInCurrentResidence,Property,Age,OtherInstallment,Housing,ExistingCredits,Job,PeopleLiable,Telephone,ForeignWorker,Sex,Marital_Status,ClassificationStatus
Above 200 DM,15,critical account/ other credits existing (not at this bank),Car (Used),2360,"[500, 1000) DM","[1, 4) Years",2,"Male, Single",None,2,Car,36,None,Own,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,15,all credits at this bank paid back duly ,Car (New),6850,"[100, 500) DM",Unemployed,1,"Male, Single",None,2,Life Insurance,34,None,Own,1,Executive,2,yes,yes,Male,Single,0
No Account,24,existing credits paid back duly till now ,Radio/TV,1413,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",None,2,Life Insurance,28,None,Own,1,Skilled,1,no,yes,Male,Married/Widowed,1
No Account,39,existing credits paid back duly till now ,Car (Used),8588,"[100, 500) DM",Above 7 Years,4,"Male, Single",None,2,Car,45,None,Own,1,Executive,1,yes,yes,Male,Single,1
None,12,existing credits paid back duly till now ,Car (New),759,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,2,Real Estate,26,None,Own,1,Skilled,1,no,yes,Male,Single,0
No Account,36,existing credits paid back duly till now ,Car (Used),4686,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,None,32,None,Free,1,Executive,1,yes,yes,Male,Single,1
Above 200 DM,15,existing credits paid back duly till now ,Business,2687,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,4,Life Insurance,26,None,Rent,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,12,delay in paying off in the past ,Radio/TV,585,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",Co-Applicant,4,Real Estate,20,None,Rent,2,Skilled,1,no,yes,Male,Married/Widowed,1
No Account,24,existing credits paid back duly till now ,Car (New),2255,None,<1 Year,4,"Male, Single",None,1,Life Insurance,54,None,Own,1,Skilled,1,no,yes,Male,Single,1
None,6,critical account/ other credits existing (not at this bank),Car (New),609,Below 100 DM,"[4, 7) Years",4,"Female, Divorced",None,3,Life Insurance,37,None,Own,2,Skilled,1,no,no,Female,Divorced,1
None,6,critical account/ other credits existing (not at this bank),Car (New),1361,Below 100 DM,<1 Year,2,"Male, Single",None,4,Real Estate,40,None,Own,1,Unskilled Resident,2,no,no,Male,Single,1
No Account,36,critical account/ other credits existing (not at this bank),Furniture,7127,Below 100 DM,<1 Year,2,"Female, Divorced",None,4,Life Insurance,23,None,Rent,2,Skilled,1,yes,yes,Female,Divorced,0
None,6,existing credits paid back duly till now ,Car (New),1203,"[100, 500) DM",Above 7 Years,3,"Male, Single",None,2,Life Insurance,43,None,Own,1,Skilled,1,yes,yes,Male,Single,1
No Account,6,critical account/ other credits existing (not at this bank),Radio/TV,700,None,Above 7 Years,4,"Male, Single",None,4,None,36,None,Free,2,Skilled,1,no,yes,Male,Single,1
No Account,24,critical account/ other credits existing (not at this bank),Repairs,5507,Below 100 DM,Above 7 Years,3,"Male, Single",None,4,None,44,None,Free,2,Skilled,1,no,yes,Male,Single,1
None,18,existing credits paid back duly till now ,Radio/TV,3190,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,2,Real Estate,24,None,Own,1,Skilled,1,no,yes,Female,Divorced,0
None,48,no credits taken/ all credits paid back duly ,Furniture,7119,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,4,None,53,None,Free,2,Skilled,2,no,yes,Male,Single,0
No Account,24,existing credits paid back duly till now ,Car (Used),3488,"[100, 500) DM","[4, 7) Years",3,"Female, Divorced",None,4,Car,23,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,18,existing credits paid back duly till now ,Radio/TV,1113,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",Guarantor,4,Real Estate,26,None,Own,1,Unskilled Resident,2,no,yes,Female,Divorced,1
Below 200 DM,26,existing credits paid back duly till now ,Car (Used),7966,Below 100 DM,<1 Year,2,"Male, Single",None,3,Car,30,None,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,15,critical account/ other credits existing (not at this bank),Education,1532,"[100, 500) DM","[1, 4) Years",4,"Female, Divorced",None,3,Car,31,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
No Account,4,critical account/ other credits existing (not at this bank),Radio/TV,1503,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,1,Real Estate,42,None,Own,2,Unskilled Resident,2,no,yes,Male,Single,1
None,36,existing credits paid back duly till now ,Radio/TV,2302,Below 100 DM,"[1, 4) Years",4,"Male, Divorced",None,4,Car,31,None,Rent,1,Skilled,1,no,yes,Male,Divorced,0
None,6,existing credits paid back duly till now ,Car (New),662,Below 100 DM,<1 Year,3,"Male, Single",None,4,Real Estate,41,None,Own,1,Unskilled Resident,2,yes,yes,Male,Single,1
Below 200 DM,36,existing credits paid back duly till now ,Education,2273,Below 100 DM,"[4, 7) Years",3,"Male, Single",None,1,Car,32,None,Own,2,Skilled,2,no,yes,Male,Single,1
Below 200 DM,15,existing credits paid back duly till now ,Car (New),2631,"[100, 500) DM","[1, 4) Years",2,"Female, Divorced",None,4,Car,28,None,Rent,2,Skilled,1,yes,yes,Female,Divorced,0
No Account,12,delay in paying off in the past ,Car (Used),1503,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",None,4,Real Estate,41,None,Rent,1,Skilled,1,no,yes,Male,Married/Widowed,1
No Account,24,existing credits paid back duly till now ,Radio/TV,1311,"[100, 500) DM","[4, 7) Years",4,"Male, Married/Widowed",None,3,Life Insurance,26,None,Own,1,Skilled,1,yes,yes,Male,Married/Widowed,1
No Account,24,existing credits paid back duly till now ,Radio/TV,3105,None,<1 Year,4,"Male, Single",None,2,Car,25,None,Own,2,Skilled,1,no,yes,Male,Single,1
Above 200 DM,21,critical account/ other credits existing (not at this bank),Education,2319,Below 100 DM,<1 Year,2,"Male, Divorced",None,1,Car,33,None,Rent,1,Skilled,1,no,yes,Male,Divorced,0
None,6,existing credits paid back duly till now ,Car (New),1374,None,Unemployed,4,"Female, Divorced",None,3,Life Insurance,75,None,Own,1,Executive,1,yes,yes,Female,Divorced,1
Below 200 DM,18,critical account/ other credits existing (not at this bank),Furniture,3612,Below 100 DM,Above 7 Years,3,"Female, Divorced",None,4,Life Insurance,37,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
None,48,existing credits paid back duly till now ,Car (New),7763,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,None,42,Bank,Free,1,Executive,1,no,yes,Male,Single,0
Above 200 DM,18,existing credits paid back duly till now ,Furniture,3049,Below 100 DM,<1 Year,1,"Female, Divorced",None,1,Life Insurance,45,Stores,Own,1,Unskilled Resident,1,no,yes,Female,Divorced,1
Below 200 DM,12,existing credits paid back duly till now ,Radio/TV,1534,Below 100 DM,<1 Year,1,"Male, Married/Widowed",None,1,Real Estate,23,None,Rent,1,Skilled,1,no,yes,Male,Married/Widowed,0
No Account,24,delay in paying off in the past ,Car (New),2032,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,None,60,None,Free,2,Skilled,1,yes,yes,Male,Single,1
None,30,existing credits paid back duly till now ,Furniture,6350,None,Above 7 Years,4,"Male, Single",None,4,Life Insurance,31,None,Own,1,Skilled,1,no,yes,Male,Single,0
Above 200 DM,18,existing credits paid back duly till now ,Furniture,2864,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,1,Real Estate,34,None,Own,1,Unskilled Resident,2,no,yes,Male,Single,0
No Account,12,critical account/ other credits existing (not at this bank),Car (New),1255,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Real Estate,61,None,Own,2,Unskilled Resident,1,no,yes,Male,Single,1
None,24,delay in paying off in the past ,Car (New),1333,Below 100 DM,Unemployed,4,"Male, Single",None,2,Real Estate,43,None,Free,2,Skilled,2,no,yes,Male,Single,0
No Account,24,critical account/ other credits existing (not at this bank),Car (New),2022,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,4,Car,37,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
No Account,24,existing credits paid back duly till now ,Radio/TV,1552,Below 100 DM,"[4, 7) Years",3,"Male, Single",None,1,Car,32,Bank,Own,1,Skilled,2,no,yes,Male,Single,1
None,12,all credits at this bank paid back duly ,Radio/TV,626,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,4,Real Estate,24,Bank,Own,1,Unskilled Resident,1,no,yes,Female,Divorced,0
No Account,48,critical account/ other credits existing (not at this bank),Car (Used),8858,None,"[4, 7) Years",2,"Male, Single",None,1,None,35,None,Free,2,Skilled,1,yes,yes,Male,Single,1
No Account,12,critical account/ other credits existing (not at this bank),Repairs,996,None,"[4, 7) Years",4,"Female, Divorced",None,4,Real Estate,23,None,Own,2,Skilled,1,no,yes,Female,Divorced,1
No Account,6,all credits at this bank paid back duly ,Radio/TV,1750,"[500, 1000) DM",Above 7 Years,2,"Male, Single",None,4,Life Insurance,45,Bank,Own,1,Unskilled Resident,2,no,yes,Male,Single,1
None,48,existing credits paid back duly till now ,Radio/TV,6999,Below 100 DM,"[4, 7) Years",1,"Male, Married/Widowed",Guarantor,1,Real Estate,34,None,Own,2,Skilled,1,yes,yes,Male,Married/Widowed,0
Below 200 DM,12,critical account/ other credits existing (not at this bank),Car (New),1995,"[100, 500) DM",<1 Year,4,"Male, Single",None,1,Car,27,None,Own,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,9,existing credits paid back duly till now ,Education,1199,Below 100 DM,"[4, 7) Years",4,"Female, Divorced",None,4,Life Insurance,67,None,Own,2,Executive,1,yes,yes,Female,Divorced,1
Below 200 DM,12,existing credits paid back duly till now ,Radio/TV,1331,Below 100 DM,<1 Year,2,"Male, Single",None,1,Car,22,Stores,Own,1,Skilled,1,no,yes,Male,Single,0
Below 200 DM,18,no credits taken/ all credits paid back duly ,Car (New),2278,"[100, 500) DM",<1 Year,3,"Female, Divorced",None,3,Car,28,None,Own,2,Skilled,1,no,yes,Female,Divorced,0
No Account,21,no credits taken/ all credits paid back duly ,Car (New),5003,None,"[1, 4) Years",1,"Female, Divorced",None,4,Life Insurance,29,Bank,Own,2,Skilled,1,yes,yes,Female,Divorced,0
None,24,all credits at this bank paid back duly ,Furniture,3552,Below 100 DM,"[4, 7) Years",3,"Male, Single",None,4,Car,27,Bank,Own,1,Skilled,1,no,yes,Male,Single,0
Below 200 DM,18,critical account/ other credits existing (not at this bank),Furniture,1928,Below 100 DM,<1 Year,2,"Male, Single",None,2,Real Estate,31,None,Own,2,Unskilled Resident,1,no,yes,Male,Single,0
None,24,existing credits paid back duly till now ,Car (Used),2964,None,Above 7 Years,4,"Male, Single",None,4,None,49,Bank,Free,1,Skilled,2,yes,yes,Male,Single,1
None,24,all credits at this bank paid back duly ,Radio/TV,1546,Below 100 DM,"[4, 7) Years",4,"Male, Single",Guarantor,4,Car,24,Bank,Rent,1,Unskilled Resident,1,no,yes,Male,Single,0
Above 200 DM,6,delay in paying off in the past ,Radio/TV,683,Below 100 DM,<1 Year,2,"Female, Divorced",None,1,Life Insurance,29,Bank,Own,1,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,36,existing credits paid back duly till now ,Car (New),12389,None,"[1, 4) Years",1,"Male, Single",None,4,None,37,None,Free,1,Skilled,1,yes,yes,Male,Single,0
Below 200 DM,24,delay in paying off in the past ,Business,4712,None,"[1, 4) Years",4,"Male, Single",None,2,Life Insurance,37,Bank,Own,2,Executive,1,yes,yes,Male,Single,1
Below 200 DM,24,delay in paying off in the past ,Radio/TV,1553,"[100, 500) DM","[4, 7) Years",3,"Female, Divorced",None,2,Life Insurance,23,None,Rent,2,Skilled,1,yes,yes,Female,Divorced,1
None,12,existing credits paid back duly till now ,Car (New),1372,Below 100 DM,"[4, 7) Years",2,"Male, Divorced",None,3,Car,36,None,Own,1,Skilled,1,no,yes,Male,Divorced,0
No Account,24,critical account/ other credits existing (not at this bank),Radio/TV,2578,Above 1000 DM,Above 7 Years,2,"Male, Single",None,2,Car,34,None,Own,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,48,existing credits paid back duly till now ,Radio/TV,3979,None,"[4, 7) Years",4,"Male, Single",None,1,Car,41,None,Own,2,Skilled,2,yes,yes,Male,Single,1
None,48,existing credits paid back duly till now ,Radio/TV,6758,Below 100 DM,"[1, 4) Years",3,"Female, Divorced",None,2,Car,31,None,Own,1,Skilled,1,yes,yes,Female,Divorced,0
None,24,existing credits paid back duly till now ,Furniture,3234,Below 100 DM,<1 Year,4,"Female, Divorced",None,4,Real Estate,23,None,Rent,1,Unskilled Resident,1,yes,yes,Female,Divorced,0
No Account,30,critical account/ other credits existing (not at this bank),Radio/TV,5954,Below 100 DM,"[4, 7) Years",3,"Male, Single",Co-Applicant,2,Car,38,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,24,existing credits paid back duly till now ,Car (Used),5433,None,Unemployed,2,"Female, Divorced",None,4,Life Insurance,26,None,Rent,1,Executive,1,yes,yes,Female,Divorced,1
None,15,existing credits paid back duly till now ,Business,806,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,4,Life Insurance,22,None,Own,1,Unskilled Resident,1,no,yes,Female,Divorced,1
Below 200 DM,9,existing credits paid back duly till now ,Radio/TV,1082,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Car,27,None,Own,2,Unskilled Resident,1,no,yes,Male,Single,1
No Account,15,critical account/ other credits existing (not at this bank),Furniture,2788,Below 100 DM,"[4, 7) Years",2,"Female, Divorced",Co-Applicant,3,Car,24,Bank,Own,2,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,12,existing credits paid back duly till now ,Radio/TV,2930,Below 100 DM,"[4, 7) Years",2,"Female, Divorced",None,1,Real Estate,27,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
No Account,24,critical account/ other credits existing (not at this bank),Education,1927,None,"[1, 4) Years",3,"Female, Divorced",None,2,Car,33,None,Own,2,Skilled,1,yes,yes,Female,Divorced,1
Below 200 DM,36,critical account/ other credits existing (not at this bank),Car (New),2820,Below 100 DM,<1 Year,4,"Male, Divorced",None,4,Car,27,None,Own,2,Skilled,1,no,yes,Male,Divorced,0
No Account,24,existing credits paid back duly till now ,Retraining,937,Below 100 DM,<1 Year,4,"Male, Married/Widowed",None,3,Car,27,None,Own,2,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
Below 200 DM,18,critical account/ other credits existing (not at this bank),Car (New),1056,Below 100 DM,Above 7 Years,3,"Male, Single",Guarantor,3,Real Estate,30,Bank,Own,2,Skilled,1,no,yes,Male,Single,0
Below 200 DM,12,critical account/ other credits existing (not at this bank),Car (New),3124,Below 100 DM,<1 Year,1,"Male, Single",None,3,Real Estate,49,Bank,Own,2,Unskilled Resident,2,no,yes,Male,Single,1
No Account,9,existing credits paid back duly till now ,Furniture,1388,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,2,Real Estate,26,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,36,existing credits paid back duly till now ,Repairs,2384,Below 100 DM,<1 Year,4,"Male, Single",None,1,None,33,None,Rent,1,Unskilled Resident,1,no,yes,Male,Single,0
No Account,12,existing credits paid back duly till now ,Car (New),2133,None,Above 7 Years,4,"Female, Divorced",None,4,None,52,None,Free,1,Executive,1,yes,yes,Female,Divorced,1
None,18,existing credits paid back duly till now ,Furniture,2039,Below 100 DM,"[1, 4) Years",1,"Female, Divorced",None,4,Real Estate,20,Bank,Rent,1,Skilled,1,no,yes,Female,Divorced,0
None,9,critical account/ other credits existing (not at this bank),Car (New),2799,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Real Estate,36,None,Rent,2,Skilled,2,no,yes,Male,Single,1
None,12,existing credits paid back duly till now ,Furniture,1289,Below 100 DM,"[1, 4) Years",4,"Male, Single",Guarantor,1,Life Insurance,21,None,Own,1,Unskilled Resident,1,no,yes,Male,Single,1
None,18,existing credits paid back duly till now ,Appliances,1217,Below 100 DM,"[1, 4) Years",4,"Male, Married/Widowed",None,3,Real Estate,47,None,Own,1,Unskilled Resident,1,yes,yes,Male,Married/Widowed,0
None,12,critical account/ other credits existing (not at this bank),Furniture,2246,Below 100 DM,Above 7 Years,3,"Male, Single",None,3,Life Insurance,60,None,Own,2,Skilled,1,no,yes,Male,Single,0
None,12,critical account/ other credits existing (not at this bank),Radio/TV,385,Below 100 DM,"[4, 7) Years",4,"Female, Divorced",None,3,Real Estate,58,None,Own,4,Unskilled Resident,1,yes,yes,Female,Divorced,1
Below 200 DM,24,delay in paying off in the past ,Car (New),1965,None,"[1, 4) Years",4,"Female, Divorced",None,4,Car,42,None,Rent,2,Skilled,1,yes,yes,Female,Divorced,1
No Account,21,existing credits paid back duly till now ,Business,1572,Above 1000 DM,Above 7 Years,4,"Female, Divorced",None,4,Real Estate,36,Bank,Own,1,Unskilled Resident,1,no,yes,Female,Divorced,1
Below 200 DM,24,existing credits paid back duly till now ,Car (New),2718,Below 100 DM,"[1, 4) Years",3,"Female, Divorced",None,4,Life Insurance,20,None,Rent,1,Unskilled Resident,1,yes,yes,Female,Divorced,0
None,24,all credits at this bank paid back duly ,Others,1358,None,Above 7 Years,4,"Male, Single",None,3,Car,40,Stores,Own,1,Executive,1,yes,yes,Male,Single,0
Below 200 DM,6,all credits at this bank paid back duly ,Car (New),931,"[100, 500) DM",<1 Year,1,"Female, Divorced",None,1,Life Insurance,32,Stores,Own,1,Unskilled Resident,1,no,yes,Female,Divorced,0
None,24,existing credits paid back duly till now ,Car (New),1442,Below 100 DM,"[4, 7) Years",4,"Female, Divorced",None,4,Car,23,None,Rent,2,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,24,no credits taken/ all credits paid back duly ,Business,4241,Below 100 DM,"[1, 4) Years",1,"Male, Single",None,4,Real Estate,36,None,Own,3,Unskilled Resident,1,yes,yes,Male,Single,0
No Account,18,critical account/ other credits existing (not at this bank),Car (New),2775,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,2,Life Insurance,31,Bank,Own,2,Skilled,1,no,yes,Male,Single,0
No Account,24,delay in paying off in the past ,Business,3863,Below 100 DM,"[1, 4) Years",1,"Male, Single",None,2,None,32,None,Free,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,7,existing credits paid back duly till now ,Radio/TV,2329,Below 100 DM,<1 Year,1,"Female, Divorced",Guarantor,1,Real Estate,45,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,9,existing credits paid back duly till now ,Furniture,918,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,1,Life Insurance,30,None,Own,1,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,24,all credits at this bank paid back duly ,Education,1837,Below 100 DM,"[4, 7) Years",4,"Female, Divorced",None,4,None,34,Bank,Free,1,Unskilled Resident,1,no,yes,Female,Divorced,0
No Account,36,existing credits paid back duly till now ,Furniture,3349,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",None,2,Car,28,None,Own,1,Executive,1,yes,yes,Female,Divorced,0
Above 200 DM,10,existing credits paid back duly till now ,Furniture,1275,Below 100 DM,<1 Year,4,"Female, Divorced",None,2,Life Insurance,23,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
None,24,all credits at this bank paid back duly ,Furniture,2828,"[500, 1000) DM","[1, 4) Years",4,"Male, Single",None,4,Real Estate,22,Stores,Own,1,Skilled,1,yes,yes,Male,Single,1
No Account,24,critical account/ other credits existing (not at this bank),Business,4526,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,2,Real Estate,74,None,Own,1,Executive,1,yes,yes,Male,Single,1
Below 200 DM,36,existing credits paid back duly till now ,Radio/TV,2671,"[100, 500) DM","[1, 4) Years",4,"Female, Divorced",Co-Applicant,4,None,50,None,Free,1,Skilled,1,no,yes,Female,Divorced,0
No Account,18,existing credits paid back duly till now ,Radio/TV,2051,Below 100 DM,<1 Year,4,"Male, Single",None,1,Real Estate,33,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,15,existing credits paid back duly till now ,Car (Used),1300,None,Above 7 Years,4,"Male, Single",None,4,None,45,Bank,Free,1,Skilled,2,no,yes,Male,Single,1
None,12,existing credits paid back duly till now ,Appliances,741,"[100, 500) DM",Unemployed,4,"Female, Divorced",None,3,Life Insurance,22,None,Own,1,Skilled,1,no,yes,Female,Divorced,0
Above 200 DM,10,existing credits paid back duly till now ,Car (New),1240,"[100, 500) DM",Above 7 Years,1,"Female, Divorced",None,4,None,48,None,Free,1,Unskilled Resident,2,no,yes,Female,Divorced,0
None,21,existing credits paid back duly till now ,Radio/TV,3357,Above 1000 DM,<1 Year,4,"Female, Divorced",None,2,Car,29,Bank,Own,1,Skilled,1,no,yes,Female,Divorced,1
None,24,all credits at this bank paid back duly ,Car (Used),3632,Below 100 DM,"[1, 4) Years",1,"Female, Divorced",Guarantor,4,Car,22,Bank,Rent,1,Skilled,1,no,no,Female,Divorced,1
No Account,18,delay in paying off in the past ,Furniture,1808,Below 100 DM,"[4, 7) Years",4,"Female, Divorced",None,1,Real Estate,22,None,Own,1,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,48,no credits taken/ all credits paid back duly ,Business,12204,None,"[1, 4) Years",2,"Male, Single",None,2,Car,48,Bank,Own,1,Executive,1,yes,yes,Male,Single,1
Below 200 DM,60,delay in paying off in the past ,Radio/TV,9157,None,"[1, 4) Years",2,"Male, Single",None,2,None,27,None,Free,1,Executive,1,no,yes,Male,Single,1
None,6,critical account/ other credits existing (not at this bank),Car (New),3676,Below 100 DM,"[1, 4) Years",1,"Male, Single",None,3,Real Estate,37,None,Rent,3,Skilled,2,no,yes,Male,Single,1
Below 200 DM,30,existing credits paid back duly till now ,Furniture,3441,"[100, 500) DM","[1, 4) Years",2,"Female, Divorced",Co-Applicant,4,Car,21,None,Rent,1,Skilled,1,no,yes,Female,Divorced,0
No Account,12,existing credits paid back duly till now ,Car (New),640,Below 100 DM,"[1, 4) Years",4,"Male, Divorced",None,2,Real Estate,49,None,Own,1,Unskilled Resident,1,no,yes,Male,Divorced,1
Below 200 DM,21,critical account/ other credits existing (not at this bank),Business,3652,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,3,Life Insurance,27,None,Own,2,Skilled,1,no,yes,Male,Single,1
No Account,18,critical account/ other credits existing (not at this bank),Car (New),1530,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,2,Life Insurance,32,Bank,Own,2,Skilled,1,no,yes,Male,Single,0
No Account,48,existing credits paid back duly till now ,Business,3914,None,"[1, 4) Years",4,"Male, Divorced",None,2,Real Estate,38,Bank,Own,1,Skilled,1,no,yes,Male,Divorced,0
None,12,existing credits paid back duly till now ,Furniture,1858,Below 100 DM,<1 Year,4,"Female, Divorced",None,1,Car,22,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
None,18,existing credits paid back duly till now ,Radio/TV,2600,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,4,None,65,None,Free,2,Skilled,1,no,yes,Male,Single,0
No Account,15,existing credits paid back duly till now ,Radio/TV,1979,None,Above 7 Years,4,"Male, Single",None,2,Car,35,None,Own,1,Skilled,1,no,yes,Male,Single,1
Above 200 DM,6,existing credits paid back duly till now ,Furniture,2116,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Real Estate,41,None,Own,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,9,all credits at this bank paid back duly ,Car (New),1437,"[100, 500) DM","[4, 7) Years",2,"Male, Single",None,3,None,29,None,Own,1,Skilled,1,no,yes,Male,Single,0
No Account,42,critical account/ other credits existing (not at this bank),Furniture,4042,"[500, 1000) DM","[1, 4) Years",4,"Male, Single",None,4,Real Estate,36,None,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,9,existing credits paid back duly till now ,Education,3832,None,Above 7 Years,1,"Male, Single",None,4,Real Estate,64,None,Own,1,Unskilled Resident,1,no,yes,Male,Single,1
None,24,existing credits paid back duly till now ,Radio/TV,3660,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,4,Car,28,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
None,18,all credits at this bank paid back duly ,Furniture,1553,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,3,Car,44,Bank,Own,1,Skilled,1,no,yes,Male,Single,0
Below 200 DM,15,existing credits paid back duly till now ,Radio/TV,1444,None,<1 Year,4,"Male, Single",None,1,Life Insurance,23,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,9,existing credits paid back duly till now ,Furniture,1980,Below 100 DM,<1 Year,2,"Female, Divorced",Co-Applicant,2,Car,19,None,Rent,2,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,24,existing credits paid back duly till now ,Car (New),1355,Below 100 DM,<1 Year,3,"Female, Divorced",None,4,Car,25,None,Own,1,Unskilled Resident,1,yes,yes,Female,Divorced,0
No Account,12,existing credits paid back duly till now ,Education,1393,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Life Insurance,47,Bank,Own,3,Skilled,2,yes,yes,Male,Single,1
No Account,24,existing credits paid back duly till now ,Radio/TV,1376,"[500, 1000) DM","[4, 7) Years",4,"Female, Divorced",None,1,Car,28,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
No Account,60,delay in paying off in the past ,Radio/TV,15653,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,4,Car,21,None,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,12,existing credits paid back duly till now ,Radio/TV,1493,Below 100 DM,<1 Year,4,"Female, Divorced",None,3,Car,34,None,Own,1,Skilled,2,no,yes,Female,Divorced,1
None,42,delay in paying off in the past ,Radio/TV,4370,Below 100 DM,"[4, 7) Years",3,"Male, Single",None,2,Life Insurance,26,Bank,Own,2,Skilled,2,yes,yes,Male,Single,0
None,18,existing credits paid back duly till now ,Education,750,Below 100 DM,Unemployed,4,"Female, Divorced",None,1,Real Estate,27,None,Own,1,"Unemployed, Unskilled",1,no,yes,Female,Divorced,0
Below 200 DM,15,existing credits paid back duly till now ,Repairs,1308,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Car,38,None,Own,2,Unskilled Resident,1,no,yes,Male,Single,1
No Account,15,existing credits paid back duly till now ,Education,4623,"[100, 500) DM","[1, 4) Years",3,"Male, Single",None,2,Life Insurance,40,None,Own,1,Executive,1,yes,yes,Male,Single,0
No Account,24,critical account/ other credits existing (not at this bank),Radio/TV,1851,Below 100 DM,"[4, 7) Years",4,"Male, Married/Widowed",Guarantor,2,Car,33,None,Own,2,Skilled,1,yes,yes,Male,Married/Widowed,1
None,18,critical account/ other credits existing (not at this bank),Radio/TV,1880,Below 100 DM,"[4, 7) Years",4,"Male, Married/Widowed",None,1,Life Insurance,32,None,Own,2,Executive,1,yes,yes,Male,Married/Widowed,1
No Account,36,delay in paying off in the past ,Business,7980,None,<1 Year,4,"Male, Single",None,4,Car,27,None,Rent,2,Skilled,1,yes,yes,Male,Single,0
None,30,no credits taken/ all credits paid back duly ,Furniture,4583,Below 100 DM,"[1, 4) Years",2,"Male, Divorced",Guarantor,2,Real Estate,32,None,Own,2,Skilled,1,no,yes,Male,Divorced,1
No Account,12,existing credits paid back duly till now ,Car (New),1386,"[500, 1000) DM","[1, 4) Years",2,"Female, Divorced",None,2,Life Insurance,26,None,Own,1,Skilled,1,no,yes,Female,Divorced,0
Above 200 DM,24,existing credits paid back duly till now ,Car (New),947,Below 100 DM,"[4, 7) Years",4,"Male, Single",None,3,None,38,Bank,Free,1,Skilled,2,no,yes,Male,Single,0
